INSERT INTO `devices` (`id`, `id_device`, `device_name`, `ip_address`, `service_use`, `type`, `user_name`, `password`, `status`, `status_connect`, `created_at`, `updated_at`) VALUES
(1, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(2, 'Kao', 'Siêu âm', '192.26', 'as', 'kios', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(3, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(4, 'Kao', 'Siêu âm', '192.26', 'as', 'rome', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(5, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(6, 'KIO_01', 'Siêu âm', '192.26', 'as', 'siha', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(7, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(8, 'KIO_01', 'Siêu âm', '192.26', 'as', 'kiosk', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(9, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(10, 'Kao', 'Siêu âm', '192.26', 'as', 'sasa', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(11, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(12, 'Kao', 'Siêu âm', '192.26', 'as', 'wassi', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(13, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(14, 'Kao', 'Siêu âm', '192.26', 'as', 'a', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(15, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(16, 'KIO_01', 'Siêu âm', '192.26', 'as', 'sd', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(17, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(18, 'KIO_01', 'Siêu âm', '192.26', 'as', 'a', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(19, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(20, 'Kao', 'Siêu âm', '192.26', 'as', 'a', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(21, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(22, 'Kao', 'Siêu âm', '192.26', 'as', 'asa', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02'),
(23, 'KIO_01', 'Kiosk', '192.168.1.2', 'Khám tim mạch', 'a', 'Hi', 'saa', '1', '2', NULL, NULL),
(24, 'Kao', 'Siêu âm', '192.26', 'as', 'disha', 'Hi', '123456', NULL, NULL, '2022-04-14 07:21:02', '2022-04-14 07:21:02');
